803 196
1179 86
431 572
438	243
404	335
264	153
302	802
375	583
63	345
1223	64
592	504
1283	11
880	195
1003	124
112	257
142	333
932	310
762	153
420	553
1251	23
940	62
1083	129
110	236
486	31
1125	20
1216	66
593	494
230	532
262	190
17	613
1054	27
247	40
95	55
14	81
736	98
130	882
790	11
672	404
1066	23
849	380
475	744
809	79
1223	22
40	257
1119	167
1017	70
514	395
244	277
82	948
67	268
325	327
262	856
608	640
412	387
60	232
49	86
381	445
455	157
106	277
630	145
544	69
970	104
53	795
218	70
1265	5
1243	30
293	354
1275	24
414	716
985	198
386	21
1137	135
1220	65
128	975
111	851
930	84
233	578
748	166
1109	65
137	391
57	98
284	893
50	656
48	241
344	4
826	279
416	91
842	387
775	319
1060	155
432	824
704	205
706	567
1067	64
1201	40
197	591
664	285
231	372
828	311
477	175
883	335
1077	122
423	379
286	616
693	431
161	793
737	28
423	482
1117	123
1249	25
969	90
1147	4
338	594
1208	1
961	272
1256	26
151	632
307	190
486	577
242	821
797	367
1101	63
333	167
1203	21
843	55
495	176
53	316
237	122
501	701
870	6
1144	133
629	302
287	413
449	73
1082	164
1202	20
1040	227
299	795
109	580
903	129
148	621
1292	7
1050	23
222	878
345	103
1202	59
1163	72
96	675
1198	19
1141	154
176	394
621	279
732	459
1188	35
31	906
551	254
1162	53
326	842
882	343
747	541
647	213
558	96
486	423
224	244
850	41
203	56
1152	123
189	561
1214	18
304	6
1181	34
720	120
889	211
1103	165
552	197
116	10
781	28
330	888
1127	7
1004	93
99	747
1093	107
224	284
1069	90
792	18
971	200
216	87
507	702
1140	106
15	33
544	604
237	794
1236	41
565	435
371	131
1112	29
674	238
565	490
699	252
1134	81
737	505
1292	5
58	587
714	461
97	86
996	143
849	32
998	38
18	730
499	19
1250	37
496	206
932	76
1022	70
903	299
1087	28
1031	33
780	393
1037	66
956	178
847	149
515	570
259	527
114	222
305	140
555	151
484	219
1286	2
75	128
640	179
34	923
147	969
962	114
690	82
974	197
1022	114
405	385
709	510
519	13
98	3
110	259
1080	46
929	174
891	154
425	244
363	44
940	299
936	100
1124	127
255	487
749	100
1105	5
414	726
1086	109
811	151
1128	66
909	20
791	88
453	397
1091	57
1205	46
187	707
583	336
1233	39
663	564
304	340
829	436
437	584
862	186
222	680
1195	28
173	344
1087	199
831	256
164	425
858	33
348	732
803	263
556	250
109	965
518	496
313	93
1096	43
636	269
393	414
1192	86
643	444
398	356
908	238
1084	91
378	813
372	587
821	193
468	101
484	488
1211	39
411	254
1087	52
421	473
923	3
91	69
852	436
385	412
315	43
281	422
967	145
45	344
293	131
288	204
932	41
708	166
820	71
777	239
913	315
351	159
980	43
1169	66
479	277
726	327
503	543
1274	8
691	209
1011	149
669	334
1119	114
223	17
327	279
1228	9
141	466
740	257
1129	163
1141	13
734	216
606	303
728	389
26	324
1274	17
152	469
354	734
1047	211
1071	58
204	21
601	486
837	33
653	379
501	570
272	971
716	37
1177	77
750	324
852	220
368	813
865	363
565	310
218	927
459	232
378	667
540	583
1046	225
1007	107
1038	243
58	224
44	284
916	103
440	128
869	50
611	118
309	883
865	107
513	487
1137	89
879	239
494	174
237	327
538	698
559	343
778	246
1254	23
496	271
798	298
124	532
570	21
1201	51
619	281
1125	165
337	755
976	307
197	769
284	924
405	361
135	642
598	358
999	131
353	230
717	171
811	468
481	370
1145	85
784	367
461	387
254	577
533	679
912	173
1089	86
1155	107
356	926
499	648
1277	10
246	497
404	351
101	982
34	763
351	760
363	123
442	177
1146	6
1121	4
586	572
1024	183
463	605
365	136
273	938
719	366
398	473
1280	19
994	297
262	327
637	204
824	356
304	138
1291	7
481	689
1082	132
860	360
346	81
1169	99
152	66
564	117
1092	79
417	678
279	211
861	329
1102	31
827	304
951	195
943	8
631	562
896	315
486	705
106	945
945	58
678	78
1205	11
772	381
848	317
174	903
1164	71
713	406
53	7
269	224
1289	3
659	564
534	157
431	784
1295	3
421	743
420	338
445	712
754	123
1183	38
373	634
464	608
323	657
1152	79
389	373
